"rom","Name","clone of","pinemHi","tomslogic","superhac","nvrams"
Name:,Description:,Clone of:,,,,KO!!
aar_101,"Aaron Spelling (1.01)",,x,x,x,KO!!
aavengef,"Airborne Avenger (Free Play)",aavenger,,,,KO!!
aavenger,"Airborne Avenger",,,,,KO!!
abv105,"Airborne (1.5)",abv106,x,,,OK
abv106,"Airborne (1.6)",,x,,x,OK
abv106r,"Airborne (Redemption 1.6)",abv106,x,,x,OK
acd_121,"AC/DC (V1.21)",acd_170h,x,,,OK
acd_125,"AC/DC (V1.25)",acd_170h,x,,,OK
acd_130,"AC/DC (V1.3)",acd_170h,x,,,OK
acd_140,"AC/DC (V1.4)",acd_170h,x,,,OK
acd_150,"AC/DC (V1.5)",acd_170h,x,,,OK
acd_150h,"AC/DC Limited Edition (V1.5)",acd_170h,x,,,OK
acd_152,"AC/DC (V1.52)",acd_170h,x,,,OK
acd_152h,"AC/DC Limited Edition (V1.52)",acd_170h,x,,,OK
acd_160,"AC/DC (V1.6)",acd_170h,x,,,OK
acd_160h,"AC/DC Limited Edition (V1.6)",acd_170h,x,,,OK
acd_161,"AC/DC (V1.61)",acd_170h,x,,,OK
acd_161h,"AC/DC Limited Edition (V1.61)",acd_170h,x,,,OK
acd_163,"AC/DC (V1.63)",acd_170h,x,,,OK
acd_163h,"AC/DC Limited Edition (V1.63)",acd_170h,x,,,OK
acd_165,"AC/DC (V1.65)",acd_170h,x,,,OK
acd_165h,"AC/DC Limited Edition (V1.65)",acd_170h,x,,,OK
acd_168,"AC/DC (V1.68)",acd_170h,x,,,OK
acd_168c,"AC/DC (V1.68) (Colored MOD)",acd_170h,x,,,OK
acd_168h,"AC/DC Limited Edition (V1.68)",acd_170h,x,,,OK
acd_168hc,"AC/DC Limited Edition (V1.68) (Colored MOD)",acd_170h,x,,,OK
acd_170,"AC/DC (V1.70.0)",acd_170h,x,,,OK
acd_170_ac,"American Country (AC/DC MOD)",acd_170h,,,,KO!!
